Benchmark,Website,Paper,Description,Cognitive Functions
FinanceAgent,https://www.vals.ai/benchmarks/finance_agent,,"FinanceAgent evaluates agent performance on tasks representative of entry-level financial analysis, such as retrieving/reading financial documents, performing calculations, and producing justified recommendations or reports. It emphasizes tool-augmented analysis, numerical reasoning, and structured communication under domain constraints.","Semantic Understanding & Context Recognition, Logical Reasoning, Planning, Decision-making, Working Memory, Language Comprehension, Language Production"
CyberGym,https://www.cybergym.io/,https://arxiv.org/abs/2506.02548,"CyberGym evaluates cybersecurity agents on tasks such as reproducing known vulnerabilities from descriptions and discovering new vulnerabilities in real open-source projects. Agents must reason about code behavior, threat models, and exploit conditions, and are scored by success on pass@1-style task completion over large suites.","Logical Reasoning, Planning, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production, Inhibitory Control"
SpreadsheetBench,https://spreadsheetbench.github.io/,https://arxiv.org/abs/2406.14991,"SpreadsheetBench evaluates an agent’s ability to navigate, modify, and compute with complex spreadsheets, often using programmatic interfaces (e.g., Python libraries) and file operations. Tasks include cleaning data, editing formulas, building models, and producing correct outputs in the spreadsheet format, with scores based on correctness of resulting artifacts.","Logical Reasoning, Planning, Decision-making, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production"
Humanity’s Last Exam,https://agi.safe.ai/,https://arxiv.org/abs/2501.14249,"Humanity’s Last Exam (HLE) is a multimodal benchmark of very hard, expert-level questions spanning many fields, intended to probe frontier reasoning and knowledge under realistic constraints. It can be evaluated with or without tools (e.g., search or code execution), and scoring is typically accuracy on a large, diverse question set.","Language Comprehension, Language Production, Logical Reasoning, Semantic Understanding & Context Recognition, Scene Understanding & Visual Reasoning, Working Memory, Planning"
AIME 2025,https://matharena.ai/?view=problem&comp=aime--aime_2025,https://arxiv.org/abs/2505.23281,"AIME 2025 evaluates mathematical problem-solving on competition-style questions that require multi-step derivations and careful case handling. Models are typically scored by exact-answer accuracy across the exam set, with or without external tools depending on the evaluation configuration.","Logical Reasoning, Working Memory, Planning, Adaptive Error Correction"
GPQA Diamond,https://artificialanalysis.ai/evaluations/gpqa-diamond,https://arxiv.org/abs/2311.12022,"GPQA Diamond is a subset of the GPQA benchmark containing especially challenging, high-quality graduate-level science multiple-choice questions where non-experts tend to fail. It targets deep scientific understanding and reasoning rather than surface recall, and is scored by multiple-choice accuracy.","Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Language Comprehension"
MMMLU,https://huggingface.co/datasets/openai/MMMLU,https://arxiv.org/abs/2009.03300,"MMMLU extends the MMLU-style broad academic evaluation into multiple non-English languages, testing cross-lingual knowledge and reasoning across many subjects. It probes whether models maintain capability and calibration across languages and scripts, typically scored by accuracy across languages/subjects.","Language Comprehension, Semantic Understanding & Context Recognition, Logical Reasoning, Working Memory, Cognitive Flexibility"
MMMU,https://mmmu-benchmark.github.io/,https://arxiv.org/abs/2311.16502,"MMMU evaluates expert-level multimodal understanding by requiring models to answer questions that combine text with images such as diagrams, charts, figures, and UI-like visuals across many disciplines. Success requires integrating visual evidence with domain knowledge and performing multi-step reasoning, scored primarily by accuracy.","Visual Perception, Scene Understanding & Visual Reasoning, Multisensory Integration, Language Comprehension, Logical Reasoning, Working Memory"
LAB-Bench FigQA,https://huggingface.co/datasets/futurehouse/lab-bench,https://arxiv.org/abs/2407.10362,"LAB-Bench FigQA evaluates whether models can interpret complex scientific figures from biology papers and answer detailed questions about experimental results, plots, and figure annotations. It emphasizes precise visual extraction and grounded scientific reasoning, often benefiting from tool assistance like image cropping or analysis pipelines.","Visual Perception, Scene Understanding & Visual Reasoning, Semantic Understanding & Context Recognition, Logical Reasoning, Language Comprehension, Working Memory"
WebArena,https://webarena.dev/,https://arxiv.org/abs/2307.13854,"WebArena evaluates autonomous web agents performing realistic multi-step tasks across several interactive websites (e.g., shopping, forums, code hosting, maps). Agents must plan, navigate dynamic interfaces, fill forms, and recover from mistakes, with success graded by task-specific functional outcomes.","Planning, Decision-making, Visual Perception, Visual Attention & Eye Movements, Working Memory, Adaptive Error Correction, Language Comprehension, Language Production"
